year_month,year,month,series_name,category,region,value,index_2015,pct_change_2015
2020-03-01,2020,3,Meats,whole_food,National,276.988,101.06840991887725,1.0684099188772338
2020-04-01,2020,4,Meats,whole_food,National,285.101,104.02871148310331,4.028711483103304
2020-05-01,2020,5,Meats,whole_food,National,284.648,103.86341916107762,3.8634191610776254
2020-06-01,2020,6,Meats,whole_food,National,285.551,104.19290915398976,4.1929091539897465
2020-07-01,2020,7,Meats,whole_food,National,284.114,103.66857125829236,3.6685712582923595
2020-08-01,2020,8,Meats,whole_food,National,284.153,103.68280172310253,3.6828017231025343
2020-09-01,2020,9,Meats,whole_food,National,283.994,103.62478521272267,3.6247852127226596
2020-10-01,2020,10,Meats,whole_food,National,284.619,103.85283753339827,3.852837533398278
2020-11-01,2020,11,Meats,whole_food,National,283.571,103.4704394020894,3.4704394020894003
2020-12-01,2020,12,Meats,whole_food,National,285.403,104.13890636445377,4.138906364453772
2021-01-01,2021,1,Meats,whole_food,National,283.653,103.50035986656204,3.500359866562039
2021-02-01,2021,2,Meats,whole_food,National,284.413,103.77767148850359,3.777671488503588
2021-03-01,2021,3,Meats,whole_food,National,284.126,103.67294986284934,3.672949862849331
2021-04-01,2021,4,Meats,whole_food,National,285.404,104.13927124816684,4.139271248166844
2021-05-01,2021,5,Meats,whole_food,National,286.442,104.51802054234491,4.518020542344916
2021-06-01,2021,6,Meats,whole_food,National,286.231,104.44103007888481,4.441030078884822
2021-07-01,2021,7,Meats,whole_food,National,288.263,105.18247378386538,5.182473783865387
2021-08-01,2021,8,Meats,whole_food,National,288.582,105.29887168833822,5.298871688338229
2021-09-01,2021,9,Meats,whole_food,National,291.657,106.42088910606226,6.420889106062269
2021-10-01,2021,10,Meats,whole_food,National,294.452,107.44073908412363,7.440739084123642
2021-11-01,2021,11,Meats,whole_food,National,296.521,108.19568348648822,8.195683486488216
2021-12-01,2021,12,Meats,whole_food,National,299.098,109.13598881509792,9.135988815097926
2022-01-01,2022,1,Meats,whole_food,National,303.065,110.58348250489021,10.583482504890206
2022-02-01,2022,2,Meats,whole_food,National,306.64,111.88794177915473,11.88794177915474
2022-03-01,2022,3,Meats,whole_food,National,311.031,113.49014616329339,13.490146163293376
2022-04-01,2022,4,Meats,whole_food,National,314.881,114.89494845865518,14.894948458655174
2022-05-01,2022,5,Meats,whole_food,National,319.697,116.65222842085323,16.652228420853234
2022-06-01,2022,6,Meats,whole_food,National,325.802,118.87984348921267,18.879843489212682
2022-07-01,2022,7,Meats,whole_food,National,331.447,120.93961204955485,20.939612049554864
2022-08-01,2022,8,Meats,whole_food,National,335.829,122.53853248027578,22.538532480275762
2022-09-01,2022,9,Meats,whole_food,National,338.9,123.65909036314748,23.659090363147474
2022-10-01,2022,10,Meats,whole_food,National,341.299,124.53444639082878,24.53444639082877
2022-11-01,2022,11,Meats,whole_food,National,344.928,125.85860938559969,25.85860938559969
2022-12-01,2022,12,Meats,whole_food,National,347.128,126.66135355437787,26.661353554377857
2023-01-01,2023,1,Meats,whole_food,National,350.237,127.79577701834668,27.795777018346673
2023-02-01,2023,2,Meats,whole_food,National,351.38,128.21283910239822,28.212839102398235
2023-03-01,2023,3,Meats,whole_food,National,353.267,128.90137466898207,28.90137466898206
2023-04-01,2023,4,Meats,whole_food,National,353.928,129.1425628033286,29.142562803328598
2023-05-01,2023,5,Meats,whole_food,National,353.983,129.16263140754805,29.162631407548055
2023-06-01,2023,6,Meats,whole_food,National,354.352,129.29727349767492,29.29727349767493
2023-07-01,2023,7,Meats,whole_food,National,354.786,129.4556330291521,29.45563302915209
2023-08-01,2023,8,Meats,whole_food,National,355.865,129.8493425555665,29.849342555566476
