year_month,category,region,n_series,avg_index,avg_pct_change
2019-03-01,processed_food,National,4,102.51126405821113,2.511264058211126
2019-03-01,whole_food,National,3,100.34521018283814,0.34521018283814264
2019-04-01,processed_food,National,4,101.47209429613704,1.4720942961370478
2019-04-01,whole_food,National,3,99.76936037365682,-0.2306396263431664
2019-05-01,processed_food,National,4,101.73222153354247,1.7322215335424704
2019-05-01,whole_food,National,3,99.84201061863082,-0.15798938136917018
2019-06-01,processed_food,National,4,102.6972244373412,2.6972244373411964
2019-06-01,whole_food,National,3,99.35347143354299,-0.6465285664570019
2019-07-01,processed_food,National,4,102.23321432152669,2.233214321526688
2019-07-01,whole_food,National,3,99.53530606698054,-0.464693933019462
2019-08-01,processed_food,National,4,102.45932692423219,2.4593269242321796
2019-08-01,whole_food,National,3,99.36110239786952,-0.6388976021304887
2019-09-01,processed_food,National,4,103.42718511777053,3.4271851177705406
2019-09-01,whole_food,National,3,99.40357071553358,-0.5964292844664267
2019-10-01,processed_food,National,4,103.47191657227752,3.4719165722775194
2019-10-01,whole_food,National,3,99.75546903075313,-0.24453096924686557
2019-11-01,processed_food,National,4,103.58383838413826,3.5838383841382644
2019-11-01,whole_food,National,3,99.8367313541294,-0.16326864587060683
2019-12-01,processed_food,National,4,102.77142405339306,2.7714240533930634
2019-12-01,whole_food,National,3,100.01153565419132,0.01153565419132807
2020-01-01,processed_food,National,4,104.01806823122395,4.018068231223943
2020-01-01,whole_food,National,3,100.29581930017832,0.2958193001783166
2020-02-01,processed_food,National,4,104.06373709765676,4.063737097656751
2020-02-01,whole_food,National,3,100.25248878413875,0.25248878413875303
2020-03-01,processed_food,National,4,104.65876724300175,4.658767243001741
2020-03-01,whole_food,National,3,100.41556665843508,0.41556665843507556
2020-04-01,processed_food,National,4,105.56296707711536,5.5629670771153625
2020-04-01,whole_food,National,3,103.09698593388282,3.0969859338828205
2020-05-01,processed_food,National,4,105.801350539192,5.801350539192005
2020-05-01,whole_food,National,3,104.32847239262205,4.328472392622058
2020-06-01,processed_food,National,4,105.29549130755834,5.295491307558325
2020-06-01,whole_food,National,3,105.27009782843187,5.270097828431861
2020-07-01,processed_food,National,4,104.83004577965673,4.830045779656727
2020-07-01,whole_food,National,3,103.8282933301148,3.8282933301148
2020-08-01,processed_food,National,4,105.44713705041598,5.44713705041598
2020-08-01,whole_food,National,3,103.49966366074179,3.499663660741784
2020-09-01,processed_food,National,4,105.73037745324167,5.730377453241676
2020-09-01,whole_food,National,3,103.23939769088538,3.23939769088538
2020-10-01,processed_food,National,4,106.28512864072503,6.285128640725041
2020-10-01,whole_food,National,3,103.61345594535895,3.6134559453589534
2020-11-01,processed_food,National,4,106.31459640047261,6.314596400472615
2020-11-01,whole_food,National,3,103.52872659858247,3.528726598582469
2020-12-01,processed_food,National,4,106.8742615792797,6.874261579279704
2020-12-01,whole_food,National,3,103.70471459383376,3.704714593833762
2021-01-01,processed_food,National,4,106.94956035377601,6.949560353776007
2021-01-01,whole_food,National,3,103.78883165454239,3.7888316545423906
2021-02-01,processed_food,National,4,106.65449276349523,6.6544927634952336
2021-02-01,whole_food,National,3,104.04368489491485,4.043684894914848
2021-03-01,processed_food,National,4,106.9293766551507,6.929376655150696
2021-03-01,whole_food,National,3,104.37572151344004,4.37572151344003
2021-04-01,processed_food,National,4,106.92524602576556,6.92524602576556
2021-04-01,whole_food,National,3,104.98974374029187,4.989743740291883
2021-05-01,processed_food,National,4,107.41631370175023,7.416313701750228
