year_month,year,series_base,index_2015_National,index_2015_DC,pct_change_2015_National,pct_change_2015_DC,dc_vs_national_diff,dc_premium_pct
2019-07-01,2019,food_overall,99.4790163470876,100.02107241039657,-0.5209836529123957,0.02107241039657412,0.5420560633089764,0.5448948765413139
2019-08-01,2019,food_overall,99.46044050208445,99.93514173154048,-0.5395594979155397,-0.06485826845952172,0.47470122945603066,0.47727641970988666
2019-09-01,2019,food_overall,99.65280369700595,100.18845821191833,-0.34719630299404647,0.18845821191833567,0.5356545149123804,0.5375207671437287
2019-10-01,2019,food_overall,99.89635366482503,100.40955068772514,-0.10364633517497654,0.4095506877251571,0.5131970229001155,0.5137294846837034
2019-11-01,2019,food_overall,100.19645676076479,100.08775819763385,0.19645676076479254,0.08775819763385473,-0.10869856313094317,-0.10848543615716724
2019-12-01,2019,food_overall,100.2629170062205,100.20098976925152,0.262917006220505,0.20098976925151207,-0.061927236968983834,-0.06176484668318771
2020-01-01,2020,food_overall,100.52050205693084,100.75685384810187,0.52050205693084,0.7568538481018694,0.23635179117103178,0.2351279453789153
2020-02-01,2020,food_overall,100.80491888375684,101.11668856581176,0.804918883756834,1.116688565811758,0.3117696820549156,0.3092802271032356
2020-03-01,2020,food_overall,101.14217366970291,101.67389531151923,1.142173669702903,1.6738953115192228,0.5317216418163184,0.5257170402059447
2020-04-01,2020,food_overall,103.63794164501492,104.64521706634005,3.637941645014914,4.645217066340054,1.007275421325133,0.9719176252798377
2020-05-01,2020,food_overall,104.53247178105546,105.7945398960403,4.53247178105546,5.794539896040298,1.2620681149848423,1.207345519991395
2020-06-01,2020,food_overall,105.12855000737875,105.8710719068965,5.128550007378746,5.8710719068965025,0.7425218995177545,0.7062990019986374
2020-07-01,2020,food_overall,104.02597040730292,105.10396157585826,4.025970407302921,5.10396157585826,1.077991168555343,1.0362711968315028
2020-08-01,2020,food_overall,104.08582590786864,104.63850373205443,4.085825907868628,4.638503732054429,0.5526778241857926,0.5309827917155543
2020-09-01,2020,food_overall,103.68045969024435,104.20258455910736,3.6804596902443483,4.2025845591073665,0.5221248688630169,0.503590426221987
2020-10-01,2020,food_overall,103.87653805416647,104.6787837377682,3.876538054166477,4.67878373776821,0.8022456836017255,0.7723069122532695
2020-11-01,2020,food_overall,103.76260620481384,104.01953431091913,3.7626062048138356,4.0195343109191315,0.25692810610529193,0.2476114618768821
2020-12-01,2020,food_overall,104.24599097145133,104.19050055739322,4.24599097145134,4.190500557393235,-0.05549041405811295,-0.05323026194197672
2021-01-01,2021,food_overall,104.26745639234387,104.43710370348545,4.267456392343864,4.4371037034854535,0.16964731114157416,0.16270398934756308
2021-02-01,2021,food_overall,104.41482476270218,104.75979130481485,4.414824762702182,4.759791304814844,0.3449665421126724,0.3303808083733884
2021-03-01,2021,food_overall,104.49366890482665,104.89450554614655,4.493668904826661,4.894505546146538,0.4008366413198985,0.38359897352726935
2021-04-01,2021,food_overall,104.93453562623473,105.58687408880473,4.934535626234743,5.586874088804741,0.6523384625700004,0.6216623142008825
2021-05-01,2021,food_overall,105.25156338095516,105.96282080880013,5.251563380955158,5.962820808800135,0.7112574278449699,0.6757689909750728
2021-06-01,2021,food_overall,106.11595936843503,106.76663070059985,6.115959368435024,6.766630700599845,0.6506713321648192,0.6131700981053055
2021-07-01,2021,food_overall,106.66662997363949,107.39857923468736,6.666629973639496,7.398579234687361,0.7319492610478733,0.6862026682841296
2021-08-01,2021,food_overall,107.15042753683264,107.47153080059122,7.150427536832639,7.471530800591224,0.32110326375858733,0.29967520535390213
2021-09-01,2021,food_overall,108.2955251821379,108.44899227257928,8.295525182137888,8.448992272579275,0.15346709044138152,0.141711386673892
2021-10-01,2021,food_overall,109.42576215144062,109.47434219580484,9.425762151440614,9.474342195804837,0.048580044364214814,0.04439543614691217
2021-11-01,2021,food_overall,110.34671126704119,110.12016495408265,10.346711267041192,10.120164954082664,-0.22654631295853278,-0.2053040914017694
2021-12-01,2021,food_overall,111.02658719415646,110.58562279788649,11.026587194156452,10.585622797886495,-0.4409643962699761,-0.39717008998830583
2022-01-01,2022,food_overall,111.98262401698523,112.16191368815296,11.982624016985216,12.161913688152953,0.1792896711677372,0.16010490265038174
2022-02-01,2022,food_overall,113.45630772056839,113.56007744204062,13.456307720568391,13.560077442040624,0.10376972147223285,0.09146227614581585
2022-03-01,2022,food_overall,115.00016683860792,115.33015991535234,15.000166838607914,15.33015991535233,0.32999307674441525,0.2869500852181632
2022-04-01,2022,food_overall,116.25548116426518,116.68088277362152,16.255481164265177,16.680882773621523,0.4254016093563422,0.3659196152267984
2022-05-01,2022,food_overall,117.81791612730783,118.36951012426755,17.817916127307836,18.36951012426756,0.5515939969597241,0.4681749729503794
2022-06-01,2022,food_overall,119.12606841208519,119.27849558654218,19.126068412085186,19.278495586542167,0.15242717445698872,0.1279545077654264
2022-07-01,2022,food_overall,120.65506685412217,121.06245228404417,20.655066854122165,21.06245228404417,0.40738542992200166,0.3376446928785431
2022-08-01,2022,food_overall,121.69201180185351,121.73512837946451,21.69201180185352,21.735128379464513,0.04311657761100207,0.035430902137773154
2022-09-01,2022,food_overall,122.31244502495872,122.14553688212615,22.312445024958727,22.14553688212615,-0.16690814283256827,-0.1364604744827965
2022-10-01,2022,food_overall,122.98984417274022,122.54699427240698,22.989844172740224,22.54699427240698,-0.44284990033324334,-0.3600702995535608
2022-11-01,2022,food_overall,123.53638681238843,122.5483369392641,23.53638681238844,22.5483369392641,-0.988049873124325,-0.7998047365792325
2022-12-01,2022,food_overall,124.06724318292288,122.52640671393102,24.067243182922887,22.526406713931017,-1.5408364689918557,-1.241936573636983
2023-01-01,2023,food_overall,124.60387870523608,123.78135266972521,24.60387870523609,23.78135266972522,-0.8225260355108759,-0.6601127060070497
